site_id,source_network,name,latitude,longitude,elevation_m,state,country,start_date,end_date,metadata
fcc01,coagmet,Christman Field,40.5917,-105.1418,1569,CO,USA,2005-12-19,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 10.0, ""elevation"": 1569, ""firstObs"": ""2005-12-19"", ""irrigation"": ""dry"", ""lastObs"": ""2026-05-09"", ""lat"": 40.5917, ""location"": ""Christman air field"", ""lon"": -105.1418, ""name"": ""Christman Field"", ""network"": ""Coag"", ""station"": ""fcc01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""fcc01""}"
fcl01,coagmet,Fort Collins,40.5762,-105.0857,1523,CO,USA,1996-02-01,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 10.0, ""elevation"": 1523, ""firstObs"": ""1996-02-01"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 40.5762, ""location"": ""CSU Campus"", ""lon"": -105.0857, ""name"": ""Fort Collins"", ""network"": ""Coag"", ""station"": ""fcl01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""fcl01""}"
frt01,coagmet,CSU Fruita Expt,39.1667,-108.75,1372,CO,USA,2008-01-01,2008-12-31,"{""coagmet_raw"": {""active"": ""inactive"", ""anemometerHeight"": 2.0, ""elevation"": 1372, ""firstObs"": ""2008-01-01"", ""irrigation"": ""unknown"", ""lastObs"": ""2008-12-31"", ""lat"": 39.1667, ""location"": ""2 mi ENE of Fruita"", ""lon"": -108.75, ""name"": ""CSU Fruita Expt"", ""network"": ""Coag"", ""station"": ""frt01"", ""timestep"": 3600, ""units"": ""m""}, ""coagmet_station_id"": ""frt01""}"
frt02,coagmet,CSU Fruita Expt Station,39.1803,-108.6993,1377,CO,USA,1992-06-16,2021-01-03,"{""coagmet_raw"": {""active"": ""inactive"", ""anemometerHeight"": 2.0, ""elevation"": 1377, ""firstObs"": ""1992-06-16"", ""irrigation"": ""part"", ""lastObs"": ""2021-01-03"", ""lat"": 39.1803, ""location"": ""2 mi ENE Fruita"", ""lon"": -108.6993, ""name"": ""CSU Fruita Expt Station"", ""network"": ""Coag"", ""station"": ""frt02"", ""timestep"": 3600, ""units"": ""m""}, ""coagmet_station_id"": ""frt02""}"
frt03,coagmet,CSU Fruita Exp Station,39.183,-108.697,1404,CO,USA,2020-01-01,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 3.0, ""elevation"": 1404, ""firstObs"": ""2020-01-01"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 39.183, ""location"": ""2 mi ENE Fruita"", ""lon"": -108.697, ""name"": ""CSU Fruita Exp Station"", ""network"": ""Coag"", ""station"": ""frt03"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""frt03""}"
ftc01,coagmet,Fort Collins AERC,40.5947,-105.137,1561,CO,USA,1992-02-01,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1561, ""firstObs"": ""1992-02-01"", ""irrigation"": ""part"", ""lastObs"": ""2026-05-09"", ""lat"": 40.5947, ""location"": ""Fort Collins AERC"", ""lon"": -105.137, ""name"": ""Fort Collins AERC"", ""network"": ""Coag"", ""station"": ""ftc01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""ftc01""}"
ftc03,coagmet,CSU - ARDEC,40.6523,-104.9962,1558,CO,USA,1992-05-08,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1558, ""firstObs"": ""1992-05-08"", ""irrigation"": ""part"", ""lastObs"": ""2026-05-09"", ""lat"": 40.6523, ""location"": ""6 mi NE Fort Collins"", ""lon"": -104.9962, ""name"": ""CSU - ARDEC"", ""network"": ""Coag"", ""station"": ""ftc03"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""ftc03""}"
ftl01,coagmet,Fort Lupton,40.0011,-104.849,1541,CO,USA,1992-03-17,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1541, ""firstObs"": ""1992-03-17"", ""irrigation"": ""part"", ""lastObs"": ""2026-05-09"", ""lat"": 40.0011, ""location"": ""6 mi SSW Fort Lupton"", ""lon"": -104.849, ""name"": ""Fort Lupton"", ""network"": ""Coag"", ""station"": ""ftl01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""ftl01""}"
ftm01,coagmet,Fort Morgan,40.2585,-103.954,1317,CO,USA,1995-04-21,2010-04-07,"{""coagmet_raw"": {""active"": ""inactive"", ""anemometerHeight"": 2.0, ""elevation"": 1317, ""firstObs"": ""1995-04-21"", ""irrigation"": ""part"", ""lastObs"": ""2010-04-07"", ""lat"": 40.2585, ""location"": ""8 mi W Fort Morgan"", ""lon"": -103.954, ""name"": ""Fort Morgan"", ""network"": ""Coag"", ""station"": ""ftm01"", ""timestep"": 3600, ""units"": ""m""}, ""coagmet_station_id"": ""ftm01""}"
fwl01,coagmet,Fowler,38.1351,-104.0319,1321,CO,USA,2005-03-17,,"{""coagmet_raw"": {""active"": ""active"", ""anemometerHeight"": 2.0, ""elevation"": 1321, ""firstObs"": ""2005-03-17"", ""irrigation"": ""full"", ""lastObs"": ""2026-05-09"", ""lat"": 38.1351, ""location"": ""Fowler Golf Course"", ""lon"": -104.0319, ""name"": ""Fowler"", ""network"": ""Coag"", ""station"": ""fwl01"", ""timestep"": 300, ""units"": ""m""}, ""coagmet_station_id"": ""fwl01""}"
